train_loss,train_val_loss,train_grad_loss,valid_loss,valid_val_loss,valid_grad_loss
0.018909136074276953,0.0034141254960365283,0.015495010578240423,0.0017320785090482482,0.00028761995386642717,0.0014444585551818211
0.00033307322850208344,6.248590902008194e-05,0.0002705873194820015,0.0003047903030664505,3.7617188057629394e-05,0.0002671731150088211
0.00017031000505194244,2.207066602774527e-05,0.00014823933902419716,2.644076574773256e-05,4.319774831189231e-06,2.212099091654333e-05
0.00011889430521065757,1.6278229043139922e-05,0.00010261607616751765,2.5359689945616995e-05,5.702665931069835e-06,1.9657024014547158e-05
8.403440816764487e-05,1.2851762924886619e-05,7.118264524275826e-05,1.8187837567408374e-05,3.108972886669411e-06,1.5078864680738964e-05
7.19572186068035e-05,9.99325837165088e-06,6.196396023515263e-05,0.0002544723006974285,5.5236396969606476e-05,0.00019923590372782201
5.380783579736696e-05,8.014493691856235e-06,4.579334210551072e-05,1.8455972682689512e-05,2.991729745432773e-06,1.5464242937256737e-05
4.444855635732287e-05,6.814715353599846e-06,3.763384100372302e-05,3.1350954143757306e-05,6.164235206476102e-06,2.5186718937281207e-05
3.44374423321824e-05,6.106557020545248e-06,2.8330885311637152e-05,1.205149626154404e-05,1.791335111859856e-06,1.0260161149684185e-05
3.0234808354119497e-05,4.896392631023142e-06,2.5338415723096356e-05,2.2194533812338098e-05,2.2226516795247637e-06,1.9971882132813335e-05
2.547790111084396e-05,4.353612137856544e-06,2.1124288972987415e-05,3.4059979244072264e-05,3.164873892455944e-06,3.089510535161632e-05
2.7251066027141254e-05,4.001680626182254e-06,2.3249385400959e-05,8.323582482686712e-06,1.4185081009903418e-06,6.905074381696371e-06
3.061263681990264e-05,3.866938165416892e-06,2.674569865448575e-05,7.024181188595927e-06,1.1705114423117872e-06,5.85366974628414e-06
2.2554923271248603e-05,3.2632323441248446e-06,1.9291690927123758e-05,3.983303509994585e-05,2.3840025582709736e-06,3.7449032541674874e-05
1.8223270073319023e-05,3.2749623224996566e-06,1.4948307750819367e-05,1.471039174454442e-05,3.414135757096422e-06,1.1296255987447997e-05
1.7366689310923295e-05,3.133896958919043e-06,1.4232792352004254e-05,1.3894600022846742e-06,1.9159205486024197e-07,1.1978679474244322e-06
1.5718086430422316e-05,2.852469791639578e-06,1.286561663878274e-05,7.930617312376853e-06,1.9925368365269e-06,5.938080475849953e-06
1.568387805339929e-05,2.8184739562675533e-06,1.2865404097131734e-05,4.060895287436021e-06,4.02601746691289e-07,3.6582935407447317e-06
1.5756821275617008e-05,2.8350461914480244e-06,1.2921775084168985e-05,2.706398230884588e-06,1.9803603850050422e-07,2.5083621923840838e-06
1.4259546624513557e-05,2.6405071979903976e-06,1.161903942652316e-05,5.726305791201109e-05,6.181863499659812e-06,5.108119441235128e-05
1.4348618948626305e-05,2.5930332991720207e-06,1.1755585649454285e-05,1.3518016257209336e-05,1.267428690395415e-06,1.225058756681392e-05
1.3840021237585158e-05,2.5584775551578786e-06,1.128154368242728e-05,3.0165197410800224e-06,3.812512090007658e-07,2.6352685320792566e-06
1.3884474286716871e-05,2.528277385054404e-06,1.1356196901662466e-05,3.396022168847897e-06,3.7036906909027795e-07,3.025653099757619e-06
1.261067907468032e-05,2.3452773194890144e-06,1.0265401755191305e-05,1.05140246312961e-06,3.3132164749076763e-07,7.200808156388424e-07
1.2758560566637319e-05,2.4181319101387543e-06,1.0340428656498564e-05,9.227625554785845e-07,6.487317433917876e-07,2.74030812086797e-07
1.281491200338299e-05,2.348110633295164e-06,1.0466801370087826e-05,4.958155801553707e-06,3.9353895253346615e-06,1.0227662762190449e-06
1.2297174712013732e-05,2.3875761438963156e-06,9.909598568117417e-06,6.787831839998641e-06,3.675465056100317e-06,3.1123667838983237e-06
1.2148669441050211e-05,2.3641363363822165e-06,9.784533104667995e-06,3.3913523454884853e-06,2.6660851024947383e-07,3.1247438352390113e-06
1.1781757784380412e-05,2.1808574041718505e-06,9.600900380208561e-06,2.2553453473240855e-06,1.2782115782708085e-06,9.77133769053277e-07
1.204280041645139e-05,2.3355453012745406e-06,9.70725511517685e-06,4.474652242341411e-07,6.698323896140815e-08,3.8048198527273294e-07
1.1402730330858427e-05,2.239872268298389e-06,9.162858062560038e-06,3.1880588314455356e-07,1.2390342992982067e-07,1.9490245321473292e-07
1.1090358499886104e-05,2.1377113613198163e-06,8.952647138566287e-06,1.2788751727687971e-05,1.4862172218272462e-06,1.1302534505860724e-05
1.0923869677962253e-05,2.1896029651770733e-06,8.73426671278518e-06,1.9897723472316404e-06,1.4919432300454599e-07,1.8405780242270945e-06
1.1139080757020755e-05,2.1739371296661147e-06,8.96514362735464e-06,7.199683641010779e-06,2.7807728514744668e-06,4.418910789536312e-06
